tweet_id,airline_sentiment,text,textToken,textWords,features,airline_sentiment_Index,rawPrediction,probability,prediction
567744381432516608,negative,@VirginAmerica my group got their Cancelled Flightlation fees waived but I can't because my ticket is booked for 2/18? Your reps were no help either 😡,"[""@virginamerica"",""my"",""group"",""got"",""their"",""cancelled"",""flightlation"",""fees"",""waived"",""but"",""i"",""can't"",""because"",""my"",""ticket"",""is"",""booked"",""for"",""2/18?"",""your"",""reps"",""were"",""no"",""help"",""either"",""😡""]","[""@virginamerica"",""group"",""got"",""cancelled"",""flightlation"",""fees"",""waived"",""ticket"",""booked"",""2/18?"",""reps"",""help"",""either"",""😡""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[10,18,24,26,126,166,347,520,544,602,661,766,864,926],""values"":[1,1,1,1,1,1,1,1,1,1,1,1,1,1]}",0,"{""vectorType"":""dense"",""length"":3,""values"":[1.8610266746374926,-0.5109231453341837,-1.3501035293033101]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8821378595375973,0.08230225665320436,0.03555988380919847]}",0
567753757702647810,positive,@VirginAmerica really wish you'd fly out of #Fargo @fargoairport those fares are amazings,"[""@virginamerica"",""really"",""wish"",""you'd"",""fly"",""out"",""of"",""#fargo"",""@fargoairport"",""those"",""fares"",""are"",""amazings""]","[""@virginamerica"",""really"",""wish"",""fly"",""#fargo"",""@fargoairport"",""fares"",""amazings""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[18,112,132,159,403,495,582,944],""values"":[1,1,1,1,1,1,1,1]}",2,"{""vectorType"":""dense"",""length"":3,""values"":[-0.4632832075891018,0.11814404249293325,0.34513916509616777]}","{""vectorType"":""dense"",""length"":3,""values"":[0.19869047890558428,0.3553756793313954,0.44593384176302037]}",2
567783687980367872,negative,"@VirginAmerica As one of the travelers affected by the Boston storm, I'm shocked at Virgin's complete apathy toward their customers.","[""@virginamerica"",""as"",""one"",""of"",""the"",""travelers"",""affected"",""by"",""the"",""boston"",""storm,"",""i'm"",""shocked"",""at"",""virgin's"",""complete"",""apathy"",""toward"",""their"",""customers.""]","[""@virginamerica"",""one"",""travelers"",""affected"",""boston"",""storm,"",""shocked"",""virgin's"",""complete"",""apathy"",""toward"",""customers.""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[4,18,164,194,348,394,520,778,780,782,815,992],""values"":[1,1,1,1,1,1,1,1,1,1,1,1]}",0,"{""vectorType"":""dense"",""length"":3,""values"":[0.9708341251755019,0.055666634252643676,-1.0265007594281461]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6509797908458097,0.26068456352802694,0.08833564562616332]}",0
567785191901376512,negative,@VirginAmerica Grouping Virgin in with the others now. BOS weather has exposed their actual Cus Serv model. Never Flight Booking Problems with Virgin again!,"[""@virginamerica"",""grouping"",""virgin"",""in"",""with"",""the"",""others"",""now."",""bos"",""weather"",""has"",""exposed"",""their"",""actual"",""cus"",""serv"",""model."",""never"",""flight"",""booking"",""problems"",""with"",""virgin"",""again!""]","[""@virginamerica"",""grouping"",""virgin"",""others"",""now."",""bos"",""weather"",""exposed"",""actual"",""cus"",""serv"",""model."",""never"",""flight"",""booking"",""problems"",""virgin"",""again!""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[18,29,156,281,290,302,531,586,587,750,774,802,825,870,940,989,993],""values"":[1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1]}",0,"{""vectorType"":""dense"",""length"":3,""values"":[0.22509327740834242,-0.8901510923242328,0.6650578149158897]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3471634801434452,0.11381239371225492,0.5390241261442998]}",2
567806872410161152,positive,@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :),"[""@virginamerica"",""are"",""there"",""any"",""plans"",""for"",""a"",""short"",""haul"",""airline"",""in"",""europe?"",""would"",""defiantly"",""fly"",""with"",""you"",""guys"","":)""]","[""@virginamerica"",""plans"",""short"",""haul"",""airline"",""europe?"",""defiantly"",""fly"",""guys"","":)""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[18,113,216,262,334,481,504,682,874,944],""values"":[1,1,1,1,1,1,1,1,1,1]}",2,"{""vectorType"":""dense"",""length"":3,""values"":[-0.2812412283653992,-0.7379246219278781,1.0191658502932766]}","{""vectorType"":""dense"",""length"":3,""values"":[0.1885308570981347,0.1194118327804272,0.6920573101214382]}",2
567845726220357632,neutral,@VirginAmerica is that #thestarter??😁,"[""@virginamerica"",""is"",""that"",""#thestarter??😁""]","[""@virginamerica"",""#thestarter??😁""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[18,177],""values"":[1,1]}",1,"{""vectorType"":""dense"",""length"":3,""values"":[-0.005102657635391215,0.3375549743534653,-0.33245231671807435]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3195380202310962,0.4501288602507101,0.23033311951819357]}",1
567846970141716481,positive,@VirginAmerica @JezzieGoldz would have been a rough trip but LUCKILY we were on a #virginamerica flight. #weather,"[""@virginamerica"",""@jezziegoldz"",""would"",""have"",""been"",""a"",""rough"",""trip"",""but"",""luckily"",""we"",""were"",""on"",""a"",""#virginamerica"",""flight."",""#weather""]","[""@virginamerica"",""@jezziegoldz"",""rough"",""trip"",""luckily"",""#virginamerica"",""flight."",""#weather""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[18,233,298,422,595,603,739,782],""values"":[1,1,1,1,1,1,1,1]}",2,"{""vectorType"":""dense"",""length"":3,""values"":[-0.04848638302641171,0.2560835701614646,-0.20759718713505346]}","{""vectorType"":""dense"",""length"":3,""values"":[0.3116290392089937,0.4225819771397853,0.265788983651221]}",1
567971836321009664,negative,"@VirginAmerica All of group E was told there was no more room in the bins. when I got on the plane, was room for at least 4 bags in my row!","[""@virginamerica"",""all"",""of"",""group"",""e"",""was"",""told"",""there"",""was"",""no"",""more"",""room"",""in"",""the"",""bins."",""when"",""i"",""got"",""on"",""the"",""plane,"",""was"",""room"",""for"",""at"",""least"",""4"",""bags"",""in"",""my"",""row!""]","[""@virginamerica"",""group"",""e"",""told"",""room"",""bins."",""got"",""plane,"",""room"",""least"",""4"",""bags"",""row!""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[10,18,179,286,330,450,494,550,572,634,678,766],""values"":[1,1,1,1,1,1,2,1,1,1,1,1]}",0,"{""vectorType"":""dense"",""length"":3,""values"":[1.4915247630940978,-0.5566271391708815,-0.9348976239232172]}","{""vectorType"":""dense"",""length"":3,""values"":[0.8214730447343491,0.10594787442137146,0.0725790808442794]}",0
568011935347838977,neutral,@VirginAmerica @AmericanAir can u help with flights to get a 2y old battling cancer who needs treatment in 🇺🇸 @FreyaBevan_Fund 💗 🎀 💗,"[""@virginamerica"",""@americanair"",""can"",""u"",""help"",""with"",""flights"",""to"",""get"",""a"",""2y"",""old"",""battling"",""cancer"",""who"",""needs"",""treatment"",""in"",""🇺🇸"",""@freyabevan_fund"",""💗"",""🎀"",""💗""]","[""@virginamerica"",""@americanair"",""u"",""help"",""flights"",""get"",""2y"",""old"",""battling"",""cancer"",""needs"",""treatment"",""🇺🇸"",""@freyabevan_fund"",""💗"",""🎀"",""💗""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[15,18,83,149,274,328,347,415,426,433,444,477,496,678,735,783],""values"":[1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1]}",1,"{""vectorType"":""dense"",""length"":3,""values"":[0.9953879389522512,0.2891272220068959,-1.284515160959148]}","{""vectorType"":""dense"",""length"":3,""values"":[0.6266527361772182,0.30924437454206466,0.06410288928071722]}",0
568064123621093377,positive,@virginamerica awesome deals DAL-AUS for only $39 each way! https://t.co/xCVQXYkg49,"[""@virginamerica"",""awesome"",""deals"",""dal-aus"",""for"",""only"",""$39"",""each"",""way!"",""https://t.co/xcvqxykg49""]","[""@virginamerica"",""awesome"",""deals"",""dal-aus"",""$39"",""way!"",""https://t.co/xcvqxykg49""]","{""vectorType"":""sparse"",""length"":1000,""indices"":[6,18,65,363,400,453,804],""values"":[1,1,1,1,1,1,1]}",2,"{""vectorType"":""dense"",""length"":3,""values"":[-0.8731920325719897,0.9064217586740952,-0.033229726102105894]}","{""vectorType"":""dense"",""length"":3,""values"":[0.10818007575497467,0.6412446144665218,0.25057530977850345]}",1
